scenario,condition,n,time_s,speed_ms,min_dist_m,min_ttc_s,collisions,ade
scenario_01,sgan_single_inf1.00,20,18.81±0.79,2.99±0.34,3.286±0.176,1.189±0.087,0,2.378±0.055
scenario_01,sgan_single_inf1.10,20,19.80±0.38,2.38±0.34,4.018±0.439,1.652±0.260,0,2.312±0.027
scenario_01,sgan_single_inf1.20,20,19.89±0.04,2.35±0.24,4.060±0.395,1.713±0.190,0,2.306±0.010
scenario_01,sgan_single_inf1.35,20,19.81±0.29,2.47±0.23,4.048±0.258,1.633±0.176,0,2.312±0.022
scenario_01,sgan_single_inf1.50,20,19.57±0.47,2.64±0.37,3.866±0.359,1.533±0.279,0,2.329±0.036
scenario_01,sgan_robust_eps0.0,20,19.16±0.44,2.95±0.30,3.456±0.259,1.409±0.391,0,2.359±0.036
scenario_01,lstm_single,20,18.29±0.62,3.21±0.11,3.208±0.232,1.139±0.164,0,2.280±0.029
scenario_01,lstm_robust_eps0.0,20,19.29±0.72,2.73±0.50,3.591±0.440,1.347±0.417,0,2.229±0.040
scenario_02,sgan_single_inf1.00,20,19.65±0.16,2.48±0.02,1.690±0.081,0.578±0.095,0,2.113±0.008
scenario_02,sgan_single_inf1.10,20,19.94±0.21,2.45±0.03,1.748±0.098,0.565±0.111,0,2.114±0.007
scenario_02,sgan_single_inf1.20,20,19.71±1.07,2.48±0.16,1.779±0.136,0.570±0.116,0,2.111±0.014
scenario_02,sgan_single_inf1.35,20,21.46±2.13,2.30±0.22,1.869±0.252,0.573±0.211,0,2.092±0.034
scenario_02,sgan_single_inf1.50,20,22.54±2.09,2.18±0.19,1.866±0.176,0.669±0.165,0,2.080±0.036
scenario_02,sgan_robust_eps0.0,20,19.70±0.49,2.48±0.06,1.846±0.131,0.568±0.115,0,2.112±0.008
scenario_02,lstm_single,20,19.53±0.18,2.50±0.02,1.802±0.091,0.658±0.089,0,2.012±0.006
scenario_02,lstm_robust_eps0.0,20,19.99±1.02,2.45±0.11,1.885±0.139,0.588±0.140,0,2.007±0.023
scenario_03,sgan_single_inf1.00,20,18.48±0.27,3.20±0.04,2.809±0.161,0.847±0.001,0,2.129±0.009
scenario_03,sgan_single_inf1.10,20,18.76±0.27,3.15±0.04,2.787±0.090,0.852±0.002,0,2.130±0.009
scenario_03,sgan_single_inf1.20,20,19.13±0.70,3.10±0.09,2.870±0.162,0.882±0.072,0,2.131±0.008
scenario_03,sgan_single_inf1.35,20,21.66±0.35,2.78±0.04,2.991±0.154,1.100±0.047,0,2.118±0.010
scenario_03,sgan_single_inf1.50,20,22.05±0.71,2.73±0.08,3.250±0.580,1.152±0.017,0,2.109±0.017
scenario_03,sgan_robust_eps0.0,20,19.49±0.26,3.03±0.04,3.311±0.154,0.854±0.003,0,2.133±0.007
scenario_03,lstm_single,20,19.32±0.55,3.07±0.08,3.128±0.167,0.849±0.002,0,2.252±0.008
scenario_03,lstm_robust_eps0.0,20,22.56±1.89,2.67±0.20,4.124±0.541,1.042±0.141,0,2.174±0.070
